attempt,validation_days,validation_total_return,validation_annual_return,validation_max_drawdown,test_days,test_total_return,test_annual_return,test_max_drawdown
0001,756,0.2439095885665843,0.07566024506777924,0.3371727758533347,926,1.082220742536642,0.22002673901920322,0.1875524271818816
0015,756,0.19159965478717744,0.06032772050173252,0.3371727758533346,926,1.0790959735444097,0.21953001877688227,0.18755242718188148
0020,756,0.30850196971323274,0.09401160144185239,0.2563084479175599,926,0.8901144215507535,0.18842137741982246,0.19331733181384514
0021,756,0.2534757427148584,0.07841749555985111,0.26576115884608464,926,0.8884106512778969,0.1881308080566404,0.19331733181384436
0022,756,0.32857692429579344,0.09959190955121011,0.2563084479175588,926,0.8901428390014523,0.18842622225276284,0.19331733181384514
0023,756,0.4243064769082634,0.12545703030417132,0.2517074963107032,926,0.8037015505669745,0.17343681286952628,0.22629485422749407
0024,756,0.4654647334804214,0.1362219727026448,0.21053771077313954,926,0.8298910154722436,0.1780324993244553,0.1933173318138447
0031,756,0.46417735867959276,0.13588833047065463,0.21053771077314054,926,0.8500519393358379,0.1815377573547372,0.20038338434049818
0032,756,0.48014156583833345,0.14001196970397656,0.21053771077313976,926,0.8703294413265612,0.18503531276972418,0.19050328543040052
0048,756,0.5234082521774586,0.1510411130139162,0.21033899263556388,926,0.9725985241813175,0.20226581938629296,0.1905032854304004
0057,756,0.5304978818259569,0.15282837235290692,0.21033899263556355,926,0.9725985241813175,0.20226581938629296,0.1905032854304004
0179,756,0.5726845245898204,0.16335101366381344,0.2042372490992126,926,0.9029728143751681,0.19060817682911013,0.19050328543040007
0181,756,0.5729350518950671,0.16341293813982838,0.20423724909921315,926,0.9029728143751681,0.19060817682911013,0.19050328543040007
0215,756,0.5697980224713761,0.16263706375276898,0.20423724909921281,926,0.9138751884528942,0.1924538991931204,0.19050328543040007
