date,bank,bse50,chinext50,cni2000,csi100,csi1000,csi2000,csi300,csi500,csi800,csi_a50,csi_a500,csi_all,dividend,growth,lowvol,sme100,sse180,sse50,ssecomp,star100,star50,sz100,szcomponent,value300
2020-06-12,8865.72,,0.849,,5527.62,6523.33,,5140.3,6333.54,5385.03,,,5596.61,6378.75,2.453,11717.89,3.756,11645.66,4116.83,1.331,,,5.43,0.919,6601.44
2020-06-15,8756.88,,0.847,,5449.08,6521.4,,5080.19,6333.31,5337.58,,,5560.76,6334.11,2.453,11601.65,3.732,11491.13,4054.82,1.323,,,5.383,0.912,6511.72
2020-06-16,8828.76,,0.865,,5526.84,6654.89,,5156.97,6452.65,5423.22,,,5654.6,6442.0,2.501,11752.39,3.808,11651.9,4112.51,1.34,,,5.469,0.929,6589.64
2020-06-17,8821.94,,0.863,,5522.81,6684.09,,5161.59,6498.23,5436.45,,,5670.74,6455.28,2.507,11775.21,3.826,11663.24,4115.59,1.343,,,5.47,0.935,6583.2
2020-06-18,8792.34,,0.869,,5566.44,6655.03,,5198.3,6498.86,5465.52,,,5686.91,6514.08,2.513,11837.46,3.857,11710.38,4130.25,1.349,,,5.531,0.936,6620.84
2020-06-19,8824.83,,0.892,,5643.66,6697.22,,5270.53,6562.73,5535.91,,,5750.53,6527.95,2.564,11863.85,3.907,11852.88,4183.12,1.359,,,5.635,0.953,6652.09
2020-06-22,8779.75,,0.904,,5631.93,6742.18,,5276.75,6560.4,5540.32,,,5761.85,6484.71,2.593,11776.04,3.935,11861.99,4177.34,1.362,,,5.645,0.954,6616.39
2020-06-23,8737.33,,0.922,,5646.41,6755.22,,5302.54,6584.18,5565.66,,,5783.81,6483.85,2.643,11739.63,3.986,11901.28,4182.37,1.363,,,5.71,0.963,6587.06
2020-06-24,8844.14,,0.921,,5688.93,6744.66,,5332.68,6571.04,5586.65,,,5795.46,6497.4,2.643,11800.77,3.99,11990.74,4220.05,1.374,,,5.722,0.964,6657.07
2020-06-29,8825.88,,0.912,,5648.03,6727.71,,5295.2,6543.79,5551.37,,,5762.94,6466.99,2.629,11736.45,3.959,11903.81,4194.26,1.365,,,5.69,0.959,6595.42
2020-06-30,8840.08,,0.943,,5709.0,6846.63,,5370.27,6660.94,5635.21,,,5853.77,6526.15,2.702,11833.02,4.06,12033.32,4228.06,1.376,,,5.81,0.978,6637.11
2020-07-01,9000.81,,0.932,,5848.84,6868.29,,5478.56,6681.3,5724.83,,,5923.34,6643.3,2.683,12121.12,4.096,12282.29,4325.47,1.401,,,5.903,0.99,6817.11
2020-07-02,9209.69,,0.938,,5991.6,6949.95,,5593.2,6787.8,5837.6,,,6023.87,6799.87,2.692,12471.79,4.15,12583.99,4432.36,1.435,,,5.967,1.002,7001.72
2020-07-03,9451.98,,0.952,,6120.56,7021.39,,5701.92,6875.64,5941.78,,,6119.14,6875.06,2.727,12654.98,4.21,12867.51,4540.03,1.464,,,6.065,1.014,7149.22
2020-07-06,10305.82,,0.983,,6500.3,7290.31,,6025.88,7159.09,6256.78,,,6414.27,7238.21,2.807,13479.19,4.479,13696.62,4848.97,1.575,,,6.345,1.063,7688.37
2020-07-07,10253.16,,1.006,,6515.77,7390.61,,6062.7,7251.75,6305.32,,,6479.53,7210.2,2.867,13419.88,4.469,13725.89,4859.93,1.56,,,6.406,1.082,7638.76
2020-07-08,10299.88,,1.046,,6600.19,7560.39,,6162.39,7431.84,6421.82,,,6605.67,7298.81,2.949,13512.07,4.527,13974.87,4929.23,1.584,,,6.457,1.093,7711.89
2020-07-09,10187.6,,1.075,,6648.57,7787.99,,6249.94,7612.35,6528.84,,,6741.67,7368.61,3.063,13654.76,4.66,14102.24,4946.58,1.604,,,6.66,1.128,7727.72
2020-07-10,9824.7,,1.084,,6507.54,7755.21,,6146.69,7595.28,6443.92,,,6673.41,7220.16,3.076,13330.57,4.62,13815.03,4829.38,1.58,,,6.57,1.119,7491.96
2020-07-13,9816.45,,1.14,,6615.48,8030.19,,6279.9,7849.39,6602.46,,,6861.08,7417.88,3.21,13622.35,4.807,14030.21,4890.44,1.601,,,6.805,1.155,7561.4
2020-07-14,9663.81,,1.124,,6557.36,7967.53,,6223.09,7745.94,6535.88,,,6797.18,7383.28,3.17,13549.42,4.727,13902.3,4835.89,1.587,,,6.735,1.15,7476.92
2020-07-15,9494.91,,1.104,,6507.15,7736.41,,6149.73,7554.55,6437.69,,,6673.66,7254.42,3.118,13320.5,4.621,13740.49,4796.18,1.57,,,6.684,1.129,7356.75
2020-07-16,9442.52,,1.039,,6211.05,7332.6,,5856.24,7192.88,6130.22,,,6348.23,7025.29,2.93,12982.43,4.393,13123.95,4580.12,1.508,,,6.326,1.076,7201.72
2020-07-17,9447.35,,1.042,,6258.05,7348.82,,5897.23,7222.41,6168.73,,,6380.33,7070.54,2.959,12976.2,4.431,13173.42,4614.69,1.503,,,6.397,1.073,7210.51
2020-07-20,9696.46,,1.06,,6438.2,7599.94,,6073.54,7432.07,6351.82,,,6576.97,7377.24,2.991,13510.22,4.541,13607.01,4762.47,1.554,,,6.533,1.098,7492.13
2020-07-21,9606.96,,1.079,,6436.29,7659.9,,6087.58,7473.88,6371.71,,,6605.79,7363.89,3.028,13470.02,4.548,13602.98,4760.88,1.553,,,6.59,1.102,7431.97
2020-07-22,9578.24,,1.093,,6461.36,7732.74,,6118.94,7539.22,6410.21,,,6648.31,7358.26,3.068,13448.13,4.605,13644.08,4769.29,1.563,,,6.646,1.115,7416.27
2020-07-23,9442.7,,1.112,,6445.95,7726.77,,6120.32,7540.23,6411.51,,,6648.22,7274.66,3.1,13324.8,4.593,13637.13,4763.95,1.557,,1501.75,6.667,1.116,7333.44
2020-07-24,9202.32,,1.04,,6185.39,7363.32,,5851.71,7157.83,6119.24,,,6342.99,7002.94,2.906,12897.16,4.334,13096.22,4581.43,1.5,,1396.38,6.334,1.063,7111.24
2020-07-27,9131.62,,1.04,,6199.36,7365.49,,5881.75,7175.2,6146.56,,,6361.38,6984.14,2.91,12844.54,4.356,13154.37,4589.31,1.506,,1381.52,6.349,1.059,7087.03
