attempt,validation_days,validation_total_return,validation_annual_return,validation_max_drawdown,test_days,test_total_return,test_annual_return,test_max_drawdown
0001,728,0.0,0.0,0.0,896,0.0,0.0,0.0
0006,728,0.2563019996196525,0.07922942456904858,0.18389773698700984,896,0.35547961618341106,0.08596881182687843,0.1452910358104651
0008,728,0.6063640629922036,0.17161758826207918,0.21181885786920107,896,0.3893499003985865,0.09326070963863597,0.4173853126872866
0012,728,1.0012768890901005,0.26091658350011615,0.23302677127022053,896,-0.23134869548543868,-0.06885948092453109,0.5295745537862775
0063,728,1.1436950228023406,0.29021810169018947,0.23302677127022053,896,0.09004720310959158,0.023654477366032323,0.3496884047915264
0115,728,1.1990400750115549,0.3012549275174212,0.20564658906523203,896,0.08718136449589498,0.02292402809861227,0.4109897563306384
0136,728,1.2331241140535716,0.3079601600737345,0.20725995316159274,896,0.6281502309799682,0.1413044198837623,0.3252015015026394
0143,728,1.245518019979618,0.3103814693966236,0.1980119284294236,896,1.6054451647506647,0.2964848686685335,0.2987072093468057
0146,728,1.3476109739633189,0.32999599631608745,0.1980119284294234,896,1.3623296144241697,0.2625024548887689,0.2934429390035622
0147,728,1.4262930925064925,0.3447285319495108,0.1980119284294234,896,1.4838961855749035,0.2797980509740794,0.2796677895874543
0151,728,1.4895771058867955,0.3563487176914577,0.1980119284294234,896,1.3951123727173829,0.26722924734297315,0.30046371504105696
0159,728,1.5608630232089187,0.36920501868985567,0.1980119284294234,896,1.4648211192847485,0.2771256176566719,0.3213894668971591
0162,728,1.5731577558750645,0.3713981746158268,0.13041953003959206,896,1.7251996248160624,0.31237929415699717,0.30046371504105696
0163,728,1.6119725240670313,0.37827656783649766,0.13041953003959272,896,1.4994708799655312,0.28196900843649186,0.30046371504105696
0164,728,1.6867630806471094,0.3913407143823089,0.1508181692856897,896,1.555903651859445,0.28975354180100465,0.3213894668971591
0455,728,1.7199761060287755,0.3970646524301529,0.1465926212478441,896,1.4766680166750406,0.2787871442258687,0.3219815344975254
0473,728,1.9229149268451287,0.4310655537518173,0.15081816928568947,896,1.3350617186577072,0.2585342664700989,0.3099850443357193
0478,728,1.9624502237029522,0.43750493390734047,0.15081816928568992,896,1.1669649935201258,0.23329537165089653,0.3099850443357193
